,x,y,r,ptap,1,2,13,7,k1,k2,11,14,8,k3,k4,12,9,15,29,configuration,31,32,33,10
0,1246,426,7,1,0.0,184.0108692441835,343.6335257218073,346.2080299473136,384.7596652457219,571.6957232654447,663.493782939976,673.715073306216,677.4452007358234,757.2793407983609,944.9338601193207,996.4617403593577,1013.6133385073423,1014.4259460404195,1172.0273034362297,no_store,,,,
1,1062,428,8,2,184.0108692441835,0.0,184.19554826325202,184.39088914585776,203.73512215619573,388.73126964523965,480.5538471389028,493.817780157823,497.20016090101984,573.846669416143,761.2726187115887,812.84930952791,831.004211782347,832.1249906113865,988.01821845551,no_store,,,,
2,924,306,9,13,343.6335257218073,184.19554826325202,0.0,242.00826432169626,95.26804291051643,259.3838853899756,386.76607917447984,342.0526275297414,421.74874036563523,440.6041307114585,626.8715976976465,698.343754894393,726.2175982444932,686.0262385652607,859.5836201324453,no_store,,,,
3,922,548,7,7,346.2080299473136,184.39088914585776,242.00826432169626,0.0,177.73013250431114,296.76927064640637,340.3116218996936,413.87920943193075,342.0058479032193,462.79585132107655,641.3236312502448,672.0148807876207,682.0029325450148,723.5689324452785,855.6284240252892,no_store,,,,
4,864,380,9,k1,384.7596652457219,203.73512215619573,95.26804291051643,177.73013250431114,0.0,188.01063799689632,300.4663042672173,290.08274681545606,330.9924470437354,374.0053475553525,562.0142346951721,622.8964600958975,646.7426072248526,629.6824596572466,791.8434188651188,no_store,,,,
5,676,382,9,k2,571.6957232654447,388.73126964523965,259.3838853899756,296.76927064640637,188.01063799689632,0.0,143.68020044529447,117.2006825918689,193.49418595916518,186.0,374.0053475553525,439.05808271799305,467.24725788387457,443.55833889128945,604.2416735048982,no_store,,,,
6,586,494,7,11,663.493782939976,480.5538471389028,386.76607917447984,340.3116218996936,300.4663042672173,143.68020044529447,0.0,182.04395073717774,56.32051136131489,147.5127113166862,304.55869713406645,334.0059879702758,350.5024964247758,392.7187288632922,515.5036372325611,no_store,,,,
7,582,312,7,14,673.715073306216,493.817780157823,342.0526275297414,413.87920943193075,290.08274681545606,117.2006825918689,182.04395073717774,0.0,238.00840321299583,115.6027681329474,289.10897599348243,377.8306498948967,416.66293331660785,344.0,522.4442553995593,no_store,,,,
8,580,550,8,8,677.4452007358234,497.20016090101984,421.74874036563523,342.0058479032193,330.9924470437354,193.49418595916518,56.32051136131489,238.00840321299583,0.0,190.58856209122308,323.7900554371613,332.41540277189324,340.0,416.66293331660785,519.1261888982292,no_store,,,,
9,490,382,9,k3,757.2793407983609,573.846669416143,440.6041307114585,462.79585132107655,374.0053475553525,186.0,147.5127113166862,115.6027681329474,190.58856209122308,0.0,188.01063799689632,263.89391808073185,301.20424963801554,261.5415836917717,419.23740291152455,no_store,,,,
10,302,384,9,k4,944.9338601193207,761.2726187115887,626.8715976976465,641.3236312502448,562.0142346951721,374.0053475553525,304.55869713406645,289.10897599348243,323.7900554371613,188.01063799689632,0.0,122.65398485169571,177.2004514666935,96.33275663033837,233.4180798481557,no_store,,,,
11,252,496,6,12,996.4617403593577,812.84930952791,698.343754894393,672.0148807876207,622.8964600958975,439.05808271799305,334.0059879702758,377.8306498948967,332.41540277189324,263.89391808073185,122.65398485169571,0.0,55.31726674375732,184.53184007102948,188.4887264533346,no_store,,,,
12,240,550,7,9,1013.6133385073423,831.004211782347,726.2175982444932,682.0029325450148,646.7426072248526,467.24725788387457,350.5024964247758,416.66293331660785,340.0,301.20424963801554,177.2004514666935,55.31726674375732,0.0,238.00840321299583,202.51419703319567,no_store,,,,
13,238,312,7,15,1014.4259460404195,832.1249906113865,686.0262385652607,723.5689324452785,629.6824596572466,443.55833889128945,392.7187288632922,344.0,416.66293331660785,261.5415836917717,96.33275663033837,184.53184007102948,238.00840321299583,0.0,204.40156555173445,no_store,,,,
